Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1645.5638067506316
FDW14,OUT017,1415.6326753649932
NCN55,OUT010,929.0432076579449
FDQ58,OUT017,2483.257060612434
FDY38,OUT027,5907.05079527134
FDH56,OUT046,2025.7515498834875
FDL48,OUT018,527.1133275467107
FDC48,OUT027,2247.6205667662707
FDN33,OUT045,1486.5255305747044
FDA36,OUT017,3160.636766151746
FDT44,OUT017,1921.1719671921842
FDQ56,OUT045,1441.6826956829912
NCC54,OUT019,831.4696859273129
FDU11,OUT049,2126.686832265774
DRL59,OUT013,821.6044574974655
FDM24,OUT049,2490.7442235896833
FDI57,OUT045,3216.1473326909863
DRC12,OUT018,2810.717838644919
NCM42,OUT027,2644.9358205882722
FDA46,OUT010,491.67539524920943
FDA31,OUT013,2691.358367101239
NCJ31,OUT035,3803.900499632544
FDG52,OUT046,788.8676158179364
NCL19,OUT019,381.2364866836026
FDS10,OUT035,2789.2348091838285
FDX22,OUT010,547.2056158064264
NCF19,OUT035,905.8489149965872
NCE06,OUT046,2510.3310656739436
DRC27,OUT046,3716.8515632584767
FDE21,OUT035,1955.0192896369747
NCR42,OUT019,0.0
FDX51,OUT018,2843.771474606987
NCR06,OUT018,359.27106008318447
FDU31,OUT027,5330.691125381914
FDU59,OUT017,2660.264213553209
FDR03,OUT027,5463.418530484652
FDS49,OUT027,2260.142724559208
FDD48,OUT010,414.9394509067655
NCF18,OUT017,3122.8795896392285
NCD43,OUT027,2597.5774408600437
NCD54,OUT018,1717.7702538136457
FDY19,OUT010,409.736767055402
NCY54,OUT017,2968.9498561410032
NCL19,OUT018,2216.614224400523
FDP23,OUT010,525.5323207008051
FDC26,OUT013,1855.9931879798828
FDR14,OUT010,61.70949604234031
NCS41,OUT035,3189.9481776249672
FDF41,OUT035,3991.820467665582
FDU34,OUT046,2095.0352959730208
DRH11,OUT046,952.251188441652
FDM03,OUT013,1656.2506993411298
FDS31,OUT017,2807.4236614330403
FDJ20,OUT017,2040.5078853663204
FDV44,OUT027,5134.10377150985
FDG02,OUT049,3166.2837100751613
FDA09,OUT013,2893.372122244452
FDT04,OUT013,659.4207693422638
FDL58,OUT019,820.7738718319144
FDE52,OUT045,1420.9235171345304
FDW12,OUT035,2535.763964159624
FDL51,OUT017,3504.2354222689373
NCY42,OUT027,3428.438092920405
FDR07,OUT017,1455.8997964524572
FDN40,OUT045,2369.8496975187027
FDB35,OUT027,2507.455653018968
FDA22,OUT017,2654.7031084645055
NCL06,OUT046,3816.5635987756796
FDI35,OUT013,2970.7991178328093
NCW42,OUT045,3626.1031229750233
NCX06,OUT049,3031.5157470387862
FDC37,OUT027,2750.244988798172
FDZ14,OUT018,1804.5944042602366
DRG49,OUT049,3907.227575149997
NCG06,OUT045,3764.304418335808
DRC36,OUT045,2818.4494028859685
FDV21,OUT019,305.89149376634765
FDB53,OUT046,2450.890789066779
DRP47,OUT019,847.1185241843809
FDA14,OUT013,2455.370342389852
DRC24,OUT035,2515.165765512952
FDW21,OUT018,1450.2964267969296
NCH29,OUT046,1530.3511650003825
FDU58,OUT013,3159.5330571870186
FDY27,OUT017,2883.9480571312765
FDV56,OUT035,1867.7888482572835
FDT59,OUT046,3783.1495511556664
FDB23,OUT046,3698.806889337146
FDR49,OUT045,707.8167543330393
FDB03,OUT010,711.6984457573819
FDN39,OUT045,2715.143322562441
FDX02,OUT027,5576.280382267766
FDQ16,OUT027,2795.913832813519
FDU35,OUT018,1320.1832029971663
NCT29,OUT013,2029.7077468396105
FDZ27,OUT046,757.5423301795506
FDN57,OUT017,2114.3562959641044
FDA03,OUT018,2184.009712595218
FDZ36,OUT045,3069.0564665844445
NCU05,OUT013,1274.96347066487
FDT39,OUT018,2280.8353590189417
FDK60,OUT017,1540.1326853809342
FDZ25,OUT017,2787.246896506933
FDG12,OUT046,2077.0896504968764
DRB01,OUT019,423.23452258753935
NCC43,OUT027,5928.208752508153
FDX13,OUT019,847.1185241843809
FDM22,OUT049,878.3122893207936
FDJ03,OUT027,1468.2600852801302
FDU14,OUT018,3743.1844390566275
FDB33,OUT010,351.18042769429053
FDP27,OUT046,3139.065362416325
FDO38,OUT010,260.8184003439689
FDE28,OUT027,5764.840469973189
FDO27,OUT035,1561.3709953232135
DRL23,OUT027,2636.004257496192
FDS28,OUT046,809.3555156252677
FDX24,OUT013,1529.2369142718505
FDZ02,OUT035,1611.943480054556
FDL46,OUT045,1618.0104788506396
FDS60,OUT027,4858.45949374661
NCO06,OUT017,607.0916792358299
FDO16,OUT035,1566.0546047839007
FDC60,OUT049,1385.2164659939815
FDA48,OUT018,3278.6928414360227
FDZ36,OUT027,5159.770691370133
FDK27,OUT045,1964.1785868640118
FDW23,OUT018,439.5263987747219
FDM14,OUT018,1589.0232371350721
FDM14,OUT013,1687.8482713645217
FDW60,OUT018,2673.737836983409
FDE21,OUT013,1880.3664857519868
NCM42,OUT035,1741.1877208549856
FDY59,OUT010,369.17953210201466
DRI49,OUT049,1294.4941463631367
FDT28,OUT019,300.9999345200139
FDQ22,OUT018,445.00438557144
FDR60,OUT049,1289.165353734026
FDC50,OUT019,386.2961747231498
FDV24,OUT013,2432.6925946800134
DRF48,OUT010,525.4081353468349
FDQ47,OUT046,692.5850402174061
DRN36,OUT049,1548.3190226798104
NCY06,OUT035,2053.835877568684
FDE52,OUT035,1539.2739196942848
NCB54,OUT045,2035.7861801525135
NCF31,OUT035,2364.379882904255
FDJ08,OUT027,5004.2373542562145
NCC07,OUT017,1620.2524582009924
NCD19,OUT027,1793.75020825966
FDL46,OUT049,1906.0942213374963
FDM20,OUT045,3830.71120890543
NCI06,OUT010,425.6813242494344
DRM11,OUT035,4160.283465937749
NCH07,OUT018,2331.066135273871
FDS23,OUT013,2096.95023024652
FDO49,OUT018,539.0344841763105
FDS35,OUT049,1130.3732989083599
DRK39,OUT045,1280.6161810703966
DRI39,OUT049,1008.1991077980772
